case,paragraph_id,claim_id,decision,gold_characters,identified_characters,overlapping_characters,missed_gold_characters,extra_predicted_characters,character_recall,character_iou
68831 / claim_2,68831:answer_5,68831:claim_2,used,172,149,149,23,0,0.8662790697674418,0.8662790697674418
68831 / claim_3,68831:answer_5,68831:claim_3,used,196,183,183,13,0,0.9336734693877551,0.9336734693877551
68831 / claim_4,68831:answer_5,68831:claim_4,used,213,178,178,35,0,0.8356807511737089,0.8356807511737089
68831 / claim_5,68831:answer_5,68831:claim_5,used,312,131,130,182,1,0.4166666666666667,0.41533546325878595
68848 / claim_1,68848:answer_5,68848:claim_1,used,162,266,113,49,153,0.6975308641975309,0.35873015873015873
68848 / claim_2,68848:answer_5,68848:claim_2,used,172,173,172,0,1,1.0,0.9942196531791907
68848 / claim_3,68848:answer_5,68848:claim_3,used,147,148,147,0,1,1.0,0.9932432432432432
68848 / claim_4,68848:answer_5,68848:claim_4,used,137,146,137,0,9,1.0,0.9383561643835616
68848 / claim_5,68848:answer_5,68848:claim_5,used,152,214,152,0,62,1.0,0.7102803738317757
68910 / claim_1,68910:answer_5,68910:claim_1,used,245,246,245,0,1,1.0,0.9959349593495935
68910 / claim_2,68910:answer_5,68910:claim_2,used,150,151,150,0,1,1.0,0.9933774834437086
68910 / claim_3,68910:answer_5,68910:claim_3,used,213,214,213,0,1,1.0,0.9953271028037384
68910 / claim_4,68910:answer_5,68910:claim_4,used,172,173,172,0,1,1.0,0.9942196531791907
68910 / claim_5,68910:answer_5,68910:claim_5,used,156,157,156,0,1,1.0,0.9936305732484076
69444 / claim_1,69444:answer_5,69444:claim_1,used,293,292,291,2,1,0.9931740614334471,0.9897959183673469
69444 / claim_2,69444:answer_5,69444:claim_2,used,417,270,269,148,1,0.645083932853717,0.6435406698564593
69444 / claim_3,69444:answer_5,69444:claim_3,used,144,223,144,0,79,1.0,0.6457399103139013
69444 / claim_4,69444:answer_5,69444:claim_4,used,149,169,149,0,20,1.0,0.8816568047337278
69444 / claim_5,69444:answer_5,69444:claim_5,used,207,208,207,0,1,1.0,0.9951923076923077
69627 / claim_1,69627:answer_5,69627:claim_1,abstain,0,0,0,0,0,0.0,0.0
69627 / claim_2,69627:answer_5,69627:claim_2,used,133,134,133,0,1,1.0,0.9925373134328358
69627 / claim_3,69627:answer_5,69627:claim_3,used,72,145,72,0,73,1.0,0.496551724137931
69627 / claim_4,69627:answer_5,69627:claim_4,used,187,188,187,0,1,1.0,0.9946808510638298
69627 / claim_5,69627:answer_5,69627:claim_5,used,155,156,155,0,1,1.0,0.9935897435897436
