question_type,model,metric,status,count,total,percentage
2,llama_3_8B_Instruct,uses_retracted_claim,no,1,49,2.04
2,llama_3_8B_Instruct,uses_valid_claim,yes,44,49,89.8
2,llama_3_8B_Instruct,uses_valid_claim,no,5,49,10.2
2,llama_3_8B_Instruct,uses_both,yes,43,49,87.76
2,llama_3_8B_Instruct,uses_both,no,6,49,12.24
2,llama_3_8B_Instruct,uses_none,yes,0,49,0.0
2,llama_3_8B_Instruct,uses_none,no,49,49,100.0
2,llama_3_8B_Instruct,mentions_retracted_paper_as_retracted,yes,4,49,8.16
2,llama_3_8B_Instruct,mentions_retracted_paper_as_retracted,no,45,49,91.84
2,gpt-5.5,uses_retracted_claim,yes,45,49,91.84
2,gpt-5.5,uses_retracted_claim,no,4,49,8.16
2,gpt-5.5,uses_valid_claim,yes,49,49,100.0
2,gpt-5.5,uses_valid_claim,no,0,49,0.0
2,gpt-5.5,uses_both,yes,45,49,91.84
2,gpt-5.5,uses_both,no,4,49,8.16
2,gpt-5.5,uses_none,yes,0,49,0.0
2,gpt-5.5,uses_none,no,49,49,100.0
2,gpt-5.5,mentions_retracted_paper_as_retracted,yes,49,49,100.0
2,gpt-5.5,mentions_retracted_paper_as_retracted,no,0,49,0.0
3,olmo_3_7B_Instruct,uses_retracted_claim,yes,49,49,100.0
3,olmo_3_7B_Instruct,uses_retracted_claim,no,0,49,0.0
3,olmo_3_7B_Instruct,uses_valid_claim,yes,44,49,89.8
3,olmo_3_7B_Instruct,uses_valid_claim,no,5,49,10.2
3,olmo_3_7B_Instruct,uses_both,yes,44,49,89.8
3,olmo_3_7B_Instruct,uses_both,no,5,49,10.2
3,olmo_3_7B_Instruct,uses_none,yes,0,49,0.0
3,olmo_3_7B_Instruct,uses_none,no,49,49,100.0
3,olmo_3_7B_Instruct,mentions_retracted_paper_as_retracted,yes,8,49,16.33
3,olmo_3_7B_Instruct,mentions_retracted_paper_as_retracted,no,41,49,83.67
3,llama_3_8B_Instruct,uses_retracted_claim,yes,47,49,95.92
3,llama_3_8B_Instruct,uses_retracted_claim,no,2,49,4.08
3,llama_3_8B_Instruct,uses_valid_claim,yes,46,49,93.88
3,llama_3_8B_Instruct,uses_valid_claim,no,3,49,6.12
3,llama_3_8B_Instruct,uses_both,yes,45,49,91.84
3,llama_3_8B_Instruct,uses_both,no,4,49,8.16
3,llama_3_8B_Instruct,uses_none,yes,1,49,2.04
3,llama_3_8B_Instruct,uses_none,no,48,49,97.96
3,llama_3_8B_Instruct,mentions_retracted_paper_as_retracted,yes,1,49,2.04
3,llama_3_8B_Instruct,mentions_retracted_paper_as_retracted,no,48,49,97.96
3,gpt-5.5,uses_retracted_claim,yes,35,49,71.43
3,gpt-5.5,uses_retracted_claim,no,14,49,28.57
3,gpt-5.5,uses_valid_claim,yes,49,49,100.0
3,gpt-5.5,uses_valid_claim,no,0,49,0.0
3,gpt-5.5,uses_both,yes,35,49,71.43
3,gpt-5.5,uses_both,no,14,49,28.57
3,gpt-5.5,uses_none,yes,0,49,0.0
3,gpt-5.5,uses_none,no,49,49,100.0
3,gpt-5.5,mentions_retracted_paper_as_retracted,yes,45,49,91.84
3,gpt-5.5,mentions_retracted_paper_as_retracted,no,4,49,8.16
